location_id,name,description,address1,address2,city_village,state_province,postal_code,country,latitude,longitude,creator,date_created,county_district,neighborhood_cell,region,subregion,township_division,retired,retired_by,date_retired,retire_reason,location_type_id,parent_location,uuid
11,"Balaka District Health Office","District Health Office , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e2f0-8d80-11d8-abbb-0024217bb78e
12,"Balaka District Hospital","District Hospital , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e46c-8d80-11d8-abbb-0024217bb78e
13,"Balaka Health Area","Health Area , Public Administrative Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e5de-8d80-11d8-abbb-0024217bb78e
14,"Balaka Health District","Health District , Public Administrative Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e750-8d80-11d8-abbb-0024217bb78e
15,"Balaka OPD Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e840-8d80-11d8-abbb-0024217bb78e
16,"Bangwe Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16e926-8d80-11d8-abbb-0024217bb78e
17,"Bembeke Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16ea02-8d80-11d8-abbb-0024217bb78e
18,"Benga Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16eae8-8d80-11d8-abbb-0024217bb78e
19,"Bilal Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16ebce-8d80-11d8-abbb-0024217bb78e
20,"Bilira Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16ecaa-8d80-11d8-abbb-0024217bb78e
21,"Bimbi Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16ed90-8d80-11d8-abbb-0024217bb78e
22,"Biriwiri Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16ee6c-8d80-11d8-abbb-0024217bb78e
23,"Blantyre Civic Centre Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16ef52-8d80-11d8-abbb-0024217bb78e
24,"Blantyre District Health Office","District Health Office , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f02e-8d80-11d8-abbb-0024217bb78e
25,"Blantyre Health Area","Health Area , Public Administrative Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f114-8d80-11d8-abbb-0024217bb78e
26,"Blantyre Health District","Health District , Public Administrative Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f1f0-8d80-11d8-abbb-0024217bb78e
27,"Bolero Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f2cc-8d80-11d8-abbb-0024217bb78e
28,"Bondo Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f3b2-8d80-11d8-abbb-0024217bb78e
29,"Bowe Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f48e-8d80-11d8-abbb-0024217bb78e
30,"Bua Dispensary (Kasungu)","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f574-8d80-11d8-abbb-0024217bb78e
31,"Bua Dispensary (Nkhotakota)","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f65a-8d80-11d8-abbb-0024217bb78e
32,"Bula Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba16f736-8d80-11d8-abbb-0024217bb78e
33,"Bulala Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17a848-8d80-11d8-abbb-0024217bb78e
34,"Bvumbwe Research Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17a974-8d80-11d8-abbb-0024217bb78e
35,"Bvumbwe-Makungwa Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17aa5a-8d80-11d8-abbb-0024217bb78e
36,"Bwanje Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17ab4a-8d80-11d8-abbb-0024217bb78e
37,"Bwengu Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17ac26-8d80-11d8-abbb-0024217bb78e
38,"Chabvala Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17ad16-8d80-11d8-abbb-0024217bb78e
39,"Chadza Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17adfc-8d80-11d8-abbb-0024217bb78e
40,"Chakhaza Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17aed8-8d80-11d8-abbb-0024217bb78e
41,"Chamba Dispensary (Machinga)","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17afbe-8d80-11d8-abbb-0024217bb78e
42,"Chamba Dispensary (Zomba)","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b09a-8d80-11d8-abbb-0024217bb78e
43,"Chambe Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b176-8d80-11d8-abbb-0024217bb78e
44,"Chambo Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b25c-8d80-11d8-abbb-0024217bb78e
45,"Chamwabvi Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b338-8d80-11d8-abbb-0024217bb78e
46,"Chang'Ambika Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b41e-8d80-11d8-abbb-0024217bb78e
47,"Changata Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b4fa-8d80-11d8-abbb-0024217bb78e
48,"Chankhungu Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b5d6-8d80-11d8-abbb-0024217bb78e
49,"Chapananga Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b6bc-8d80-11d8-abbb-0024217bb78e
50,"Chesamu Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b7a2-8d80-11d8-abbb-0024217bb78e
51,"Chezi Dispensary","Dispensary , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b87e-8d80-11d8-abbb-0024217bb78e
52,"Chididi Health Centre (Nkhotakota)","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17b964-8d80-11d8-abbb-0024217bb78e
53,"Chididi Health Centre (Nsanje)","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17ba4a-8d80-11d8-abbb-0024217bb78e
54,"Chiendausiku Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17bb30-8d80-11d8-abbb-0024217bb78e
55,"Chifunga Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17bc0c-8d80-11d8-abbb-0024217bb78e
56,"Chigodi Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17bce8-8d80-11d8-abbb-0024217bb78e
57,"Chikande Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17bdce-8d80-11d8-abbb-0024217bb78e
58,"Chikangawa Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17beaa-8d80-11d8-abbb-0024217bb78e
59,"Chikole Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17bf86-8d80-11d8-abbb-0024217bb78e
60,"Chikowa Health Centre (Blantyre)","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c0da-8d80-11d8-abbb-0024217bb78e
61,"Chikowa Health Centre (Lilongwe)","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c1c0-8d80-11d8-abbb-0024217bb78e
62,"Chikuse Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c2a6-8d80-11d8-abbb-0024217bb78e
63,"Chikwawa District Health Office","District Health Office , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c38c-8d80-11d8-abbb-0024217bb78e
64,"Chikwawa District Hospital","District Hospital , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c468-8d80-11d8-abbb-0024217bb78e
65,"Chikwawa Health Area","Health Area , Public Administrative Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c54e-8d80-11d8-abbb-0024217bb78e
66,"Chikwawa Health District","Health District , Public Administrative Unit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c62a-8d80-11d8-abbb-0024217bb78e
67,"Chikweo Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17c9fe-8d80-11d8-abbb-0024217bb78e
68,"Chikwina Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17cae4-8d80-11d8-abbb-0024217bb78e
69,"Chilambwe Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17cbca-8d80-11d8-abbb-0024217bb78e
70,"Chileka Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17cca6-8d80-11d8-abbb-0024217bb78e
71,"Chileka Health Centre (Lilongwe)","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17cd8c-8d80-11d8-abbb-0024217bb78e
72,"Chileka Sda Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17ce72-8d80-11d8-abbb-0024217bb78e
73,"Chilipa Health Centre (Mangochi)","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17cf4e-8d80-11d8-abbb-0024217bb78e
74,"Chilipa Health Centre (Zomba)","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d034-8d80-11d8-abbb-0024217bb78e
75,"Chilobwe Majiga Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d138-8d80-11d8-abbb-0024217bb78e
76,"Chilomoni Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d228-8d80-11d8-abbb-0024217bb78e
77,"Chilumba Garrison Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d318-8d80-11d8-abbb-0024217bb78e
78,"Chilumba Rural Hospital","Rural Hospital , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d3fe-8d80-11d8-abbb-0024217bb78e
79,"Chimaliro Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d4e4-8d80-11d8-abbb-0024217bb78e
80,"Chimbalanga Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d5ca-8d80-11d8-abbb-0024217bb78e
81,"Chimembe Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d6b0-8d80-11d8-abbb-0024217bb78e
82,"Chimoto Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17d7a0-8d80-11d8-abbb-0024217bb78e
83,"Chimvu Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17dd4a-8d80-11d8-abbb-0024217bb78e
84,"Chimwala Dispensary","Dispensary , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17de30-8d80-11d8-abbb-0024217bb78e
85,"Ching'Oma Dispensary","Dispensary , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17df0c-8d80-11d8-abbb-0024217bb78e
86,"Chingale Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17dff2-8d80-11d8-abbb-0024217bb78e
87,"Chingazi Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17e0d8-8d80-11d8-abbb-0024217bb78e
88,"Chinguluwe Health Centre (Ntchisi)","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17e1be-8d80-11d8-abbb-0024217bb78e
89,"Chinguluwe Health Centre (Salima)","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17e75e-8d80-11d8-abbb-0024217bb78e
90,"Chinkhwiri Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17e844-8d80-11d8-abbb-0024217bb78e
91,"Chinsapo Dispensary","Dispensary , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba17e92a-8d80-11d8-abbb-0024217bb78e
92,"Chintheche Rural Hospital","Rural Hospital , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba181760-8d80-11d8-abbb-0024217bb78e
93,"Chinthembwe Health Centre","Health Centre , Private Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba181db4-8d80-11d8-abbb-0024217bb78e
94,"Chinyama Health Centre","Health Centre , Public Health Facility",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"2011-07-25 14:16:52",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,ba181f26-8d80-11d8-abbb-0024217bb78e
